SORT;GEO/TIME;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
APR;Belgium;1,26;1,36;1,43;1,45;1,38;1,43;1,57;1,59;1,62;1,81;1,98;1,99
APR;Czechia;0,83;0,88;0,94;0,94;0,84;0,81;0,84;0,76;0,76;0,78;0,86;1,88
APR;Denmark;2,68;2,82;2,92;2,90;2,63;2,81;2,98;3,08;3,21;3,38;3,55;3,90
APR;Germany;0,93;1,01;1,06;1,06;1,00;1,03;1,13;1,14;1,17;1,22;1,27;1,35
APR;Estonia;0,88;0,95;1,05;1,08;0,78;0,82;1,17;1,29;1,12;1,16;1,23;1,34
APR;Greece;1,98;2,07;2,20;2,13;1,98;1,92;2,02;1,87;1,96;2,31;2,54;2,75
APR;Spain;2,03;2,06;2,24;2,22;2,00;2,03;2,23;2,20;2,23;2,39;2,55;2,87
APR;France;0,70;0,75;0,81;0,82;0,76;0,76;0,83;0,85;0,86;0,89;0,94;0,98
APR;Italy;0,83;0,91;1,02;0,98;0,93;0,99;1,08;1,08;1,07;1,11;1,22;1,31
APR;Latvia;0,71;0,91;1,10;1,27;1,44;1,60;1,77;1,62;1,64;1,73;1,91;2,00
APR;Lithuania;0,36;0,46;0,55;0,64;0,48;0,63;0,76;0,89;0,95;1,01;1,12;1,29
APR;Luxembourg;2,88;2,90;2,82;2,82;2,44;2,51;2,95;2,91;3,36;3,68;4,05;4,66
APR;Netherlands;1,65;1,79;1,86;1,81;1,65;1,70;1,93;1,96;2,05;2,19;2,33;2,61
APR;Austria;1,59;1,70;1,89;1,97;1,78;1,89;2,03;2,08;2,02;2,10;2,12;2,18
APR;Poland;0,12;0,27;0,34;0,36;0,33;0,35;0,40;0,40;0,45;0,49;0,57;0,65
APR;Portugal;1,33;1,48;1,68;1,68;1,58;1,67;1,83;1,87;2,00;2,24;2,50;2,84
APR;Romania;0,13;0,18;0,25;0,30;0,31;0,34;0,39;0,39;0,41;0,45;0,52;0,63
APR;Slovenia;0,41;0,44;0,47;0,51;0,40;0,38;0,39;0,32;0,35;0,36;0,39;0,42
APR;Slovakia;0,22;0,34;0,33;0,38;0,28;0,28;0,27;0,22;0,22;0,25;0,29;0,34
APR;Finland;1,46;1,60;1,71;1,73;1,61;1,67;1,89;1,87;1,90;1,95;1,97;2,06
APR;United Kingdom;1,97;2,03;2,07;2,02;1,81;1,73;1,83;1,84;1,90;1,99;2,13;2,35
APR;TOT;24,93;26,90;28,73;29,07;26,43;27,35;30,30;30,26;31,26;33,49;36,05;40,41
RPR;Belgium;0,72038164;0,759842997;0,829795624;1,217602246;1,225788332;1,221874177;1,204021076;  ;  ;  ;  ;  
RPR;Czechia;0,13226975;0,187409945;0,187922393;0,222170187;0,17686921;0,20904049;  ;0,267004396;0,322837547;0,327802764;0,395415758;0,47868819
RPR;Denmark;1,307423858;1,53957865;1,847594052;2,094674541;2,137368181;2,090071834;2,070629433;2,16073209;2,199682006;2,199659335;2,300822568;2,169170411
RPR;Germany;0,071999259;0,076214857;0,077859531;0,087608727;0,094046078;0,094765111;0,132432393;0,120680361;0,124199388;0,121930288;0,118451869;0,115240903
RPR;Estonia;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
RPR;Greece;0,001458535;0,002726104;0,002446537;0,001717757;0,003785576;0,003417485;0,000899006;0;0,000454396;0,002379469;0,001105174;0,001205518
RPR;Spain;0,018200154;0,018064088;0,014781845;0,016181677;0,013884301;0,014606354;0,010071319;0,00914174;0,008281992;0,021908231;0,022368347;0,022932768
RPR;France;0,44285055;0,421859149;0,428281439;0,39678353;0,473362751;  ;  ;  ;  ;  ;  ;  
RPR;Italy;0,054825288;0,059365309;0,053723787;  ;  ;  ;  ;  ;  ;  ;  ;  
RPR;Latvia;0,000888998;0,001346575;0,001358179;0,004562439;0,006010632;0,008488548;0,00915837;0,010269888;0,010870505;0,007994132;0,006042004;0,005586714
RPR;Lithuania;0,00387456;  ;0,004923103;  ;  ;0,003819253;0,0036035;0,002663434;0,001682423;0,000339735;0;0,001384774
RPR;Luxembourg;7,855083147;8,578384347;9,819671684;10,64905054;  ;10,65596953;10,34307596;10,41434459;10,59513369;10,96092272;11,28148103;11,23819738
RPR;Netherlands;0,293765439;0,311064937;0,338916904;  ;  ;  ;  ;  ;  ;  ;  ;  
RPR;Austria;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
RPR;Poland;0,025331487;0,02468744;0,024524282;0,024242017;0,020925178;0,026641861;0,029267484;0,027086108;0,026114919;0,023594176;0,019812862;0,020412351
RPR;Portugal;0,016865701;0,016267142;0,019083629;0,014687295;0,012212423;0,012011184;0,011160798;0,01233116;0,012777373;0,014960727;0,021783506;0,02262765
RPR;Romania;0,01688308;0,016935585;0,015759208;0,016912635;0,014334435;0,01729517;0,008267712;0,008210591;0,009940023;0,009525093;0,008907611;0,008096926
RPR;Slovenia;0,200741894;0,198666439;0,201952171;0,203952804;0,216988903;0,191502001;0,191689644;0,184383721;0,176800217;0,159624664;0,136702484;0,132739847
RPR;Slovakia;0,448565289;0,509405672;0,550325878;0,563981381;0,523372376;0,362681132;0,504409316;0,556776595;0,585306966;0,602664464;0,59855951;0,59285857
RPR;Finland;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
RPR;United Kingdom;0,271509528;0,269579391;0,279434808;0,278569777;0,270911755;0,285329448;0,289578972;0,300243698;0,307360846;0,31250387;0,306044126;0,297159438
RPR;TOT;11,88291816;12,99139863;14,69835505;15,79269755;5,189860132;15,19751358;14,80826498;14,07386837;14,38144229;14,76580967;15,21749685;15,10630144
EEX;Belgium;0,8;0,7;0,7;0,8;0,9;1,0;1,2;1,2;1,2;1,0;0,9;0,9
